SourceID,Citation,Geographic_scope,Title,Author1,Author 2,Year,Publisher,Link
53,"Creed, J.C. et al. (2016). First record of seagrass in Cape Verde, eastern Atlantic. Marine Biodiversity Records. Available at: https://mbr.biomedcentral.com/articles/10.1186/s41200-016-0067-9",Cabo Verde,"First record of seagrass in Cape Verde, eastern Atlantic","Creed, J.C.",et al.,2016,Marine Biodiversity Records,https://mbr.biomedcentral.com/articles/10.1186/s41200-016-0067-9
54,"Nagel, E.J. et al. (2018). Nitroen loading rates for twenty-one seagrass inhabited bays in Nova Scotia, Canada. Canadian Technical Report of Fisheries and Aquatic Sciences. Available at: https://www.researchgate.net/profile/Elizabeth_Nagel/publication/325205902_Nitrogen_loading_rates_for_twenty-one_seagrass_inhabited_bays_in_Nova_Scotia_Canada/links/5afdcd64a6fdcc3a5ac459d6/Nitrogen-loading-rates-for-twenty-one-seagrass-inhabited-bays-in-Nova-Scotia-Canada.pdf",Canada,"Nitroen loading rates for twenty-one seagrass inhabited bays in Nova Scotia, Canada","Nagel, E.J.",et al.,2018,Canadian Technical Report of Fisheries and Aquatic Sciences,https://www.researchgate.net/profile/Elizabeth_Nagel/publication/325205902_Nitrogen_loading_rates_for_twenty-one_seagrass_inhabited_bays_in_Nova_Scotia_Canada/links/5afdcd64a6fdcc3a5ac459d6/Nitrogen-loading-rates-for-twenty-one-seagrass-inhabited-bays-in-Nova-Scotia-Canada.pdf
55,"Murcia, S. et al. (2018). An update on morphology and distribution of Ruppia filifolia (Philippi) Skottsberg in the Magellan region, southern Chile. Latin American Journal of aquatic research. Available at: https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2018000100045&script=sci_arttext",Chile,"An update on morphology and distribution of Ruppia filifolia (Philippi) Skottsberg in the Magellan region, southern Chile","Murcia, S.",et al.,2018,Latin American Journal of aquatic research,https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2018000100045&script=sci_arttext
56,"Jiang, Z. et al. (2017). Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan Island, South China Sea. Marine Pollution Bulletin. Available at: https://www.researchgate.net/profile/Songlin_Liu7/publication/319127425_Newly_discovered_seagrass_beds_and_their_potential_for_blue_carbon_in_the_coastal_seas_of_Hainan_Island_South_China_Sea/links/59d9dd370f7e9b12b36d5fdf/Newly-discovered-seagrass-beds-and-their-potential-for-blue-carbon-in-the-coastal-seas-of-Hainan-Island-South-China-Sea.pdf",China,"Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan Island, South China Sea","Jiang, Z.",et al.,2017,Marine Pollution Bulletin,https://www.researchgate.net/profile/Songlin_Liu7/publication/319127425_Newly_discovered_seagrass_beds_and_their_potential_for_blue_carbon_in_the_coastal_seas_of_Hainan_Island_South_China_Sea/links/59d9dd370f7e9b12b36d5fdf/Newly-discovered-seagrass-beds-and-their-potential-for-blue-carbon-in-the-coastal-seas-of-Hainan-Island-South-China-Sea.pdf
57,"Jahnke, M. et al. (2017). Potential and realized connectivity of the seagrass Posidonia oceanica and their implication for conservation. Diversity and Distributions. Available at: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12633","Adriatic Sea, Mediterranean",Potential and realized connectivity of the seagrass Posidonia oceanica and their implication for conservation,"Jahnke, M.",et al.,2017,Diversity and Distributions,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12633
58,"Mikissa, J.B. and Pambou, F. K. (2018). Biodiversity in Gabon: An Overview. Global Biodiversity Volume 3: Selected Countries in Africa. Edited by T. Pullaiah. Available at: https://books.google.co.uk/books?hl=en&lr=&id=fAF-DwAAQBAJ&oi=fnd&pg=PT65&dq=seagrass+gabon&ots=3Mb7u9Barp&sig=x4q46XaVlGybNRSNcoWKt0HZ7oo#v=onepage&q=seagrass%20gabon&f=false",Gabon,Biodiversity in Gabon: An Overview,"Mikissa, J.B.","Pambou, F. K.",2018,Global Biodiversity Volume 3: Selected Countries in Africa. Edited by T. Pullaiah,https://books.google.co.uk/books?hl=en&lr=&id=fAF-DwAAQBAJ&oi=fnd&pg=PT65&dq=seagrass+gabon&ots=3Mb7u9Barp&sig=x4q46XaVlGybNRSNcoWKt0HZ7oo#v=onepage&q=seagrass%20gabon&f=false
59,"de Graft-Johnson, K.A.A. et al. (2010). Biodiversity threats assessment for the Western region of Ghana. Integrated Coastal and Fisheries Governance Initiative Ghana. Available at: https://www.crc.uri.edu/download/GH2009ICM003_508.pdf",Ghana,Biodiversity threats assessment for the Western region of Ghana,"de Graft-Johnson, K.A.A.",et al.,2010,Integrated Coastal and Fisheries Governance Initiative Ghana,https://www.crc.uri.edu/download/GH2009ICM003_508.pdf
60,"Holon, F. et al. (2015). The impact of 85 years of coastal development on shallow seagrass beds (Posidonia oceanica L. (Delile)) in South Eastern France: A slow but steady loss without recovery. Estuarine, Coastal and Shelf Science. Available at: https://www.sciencedirect.com/science/article/pii/S0272771415001663",France,The impact of 85 years of coastal development on shallow seagrass beds (Posidonia oceanica L. (Delile)) in South Eastern France: A slow but steady loss without recovery,"Holon, F.",et al.,2015,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771415001663
61,"Riaz, J.M. (1995). Zoogeography of Marine Gastropod in the Southern Caribbean: A New Look at Provinciality. Caribbean Journal of Science. Available at: https://www.researchgate.net/profile/Juan_Diaz31/publication/240789042_Zoogeography_of_Marine_Gastropod_in_the_Southern_Caribbean_A_New_Look_at_Provinciality/links/0c96051c71cf3a3510000000/Zoogeography-of-Marine-Gastropod-in-the-Southern-Caribbean-A-New-Look-at-Provinciality.pdf",Caribbean,Zoogeography of Marine Gastropod in the Southern Caribbean: A New Look at Provinciality,"Riaz, J.M.",,1995,Caribbean Journal of Science,https://www.researchgate.net/profile/Juan_Diaz31/publication/240789042_Zoogeography_of_Marine_Gastropod_in_the_Southern_Caribbean_A_New_Look_at_Provinciality/links/0c96051c71cf3a3510000000/Zoogeography-of-Marine-Gastropod-in-the-Southern-Caribbean-A-New-Look-at-Provinciality.pdf
62,"Asriani, N. et al. (2018). Species richness effects on the vegetative expansion of transplanted seagrass in Indonesia. Botanica Marina. Available at: https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0127/bot-2017-0127.xml",Indonesia,Species richness effects on the vegetative expansion of transplanted seagrass in Indonesia,"Asriani, N.",et al.,2018,Botanica Marina,https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0127/bot-2017-0127.xml
63,"Sharifinia, M.M. and Daliri, M. (2019). Chapter 4 - Estuaries and Coastal Zones in the Northern Persian Gulf (Iran). Coasts and Estuaries. Available at: https://www.sciencedirect.com/science/article/pii/B9780128140031000046",Iran,Chapter 4 - Estuaries and Coastal Zones in the Northern Persian Gulf (Iran),"Sharifinia, M.M.","Daliri, M.",2019,Coasts and Estuaries,https://www.sciencedirect.com/science/article/pii/B9780128140031000046
64,"Erftemeijer, P.L.A. and Shuail, D. A. (2012). Seagrass habitats in the Arabian Gulf: distribution, tolerance thresholds and threats. Aquatic Ecosystem Health & Management. Available at: https://www.tandfonline.com/doi/full/10.1080/14634988.2012.668479?casa_token=h3YjV2t_C1oAAAAA:7nFxZLbjgOrPWe5reNmzbdplzpB8vU5WUJj7GLXdqGqA2kGt4ZyQCRAPiqXraSNJ8GQsBd3HnZ68RI0",Arabian Gulf,"Seagrass habitats in the Arabian Gulf: distribution, tolerance thresholds and threats","Erftemeijer, P.L.A.","Shuail, D. A.",2012,Aquatic Ecosystem Health & Management,https://www.tandfonline.com/doi/full/10.1080/14634988.2012.668479?casa_token=h3YjV2t_C1oAAAAA:7nFxZLbjgOrPWe5reNmzbdplzpB8vU5WUJj7GLXdqGqA2kGt4ZyQCRAPiqXraSNJ8GQsBd3HnZ68RI0
65,"Tomas, J. et al. (2001). Post-nesting movements of the Green Turtle, Chelonia mydas, nesting in the South of Bioko Island, Equatorial Guinea, West Africa. Proceedings of the Twenty-first annual Symposium on sea turtle biology and conservation. Available at: https://repository.library.noaa.gov/view/noaa/3412/noaa_3412_DS1.pdf#page=354",Equatorial Guinea,"Post-nesting movements of the Green Turtle, Chelonia mydas, nesting in the South of Bioko Island, Equatorial Guinea, West Africa","Tomas, J.",et al.,2001,Proceedings of the Twenty-first annual Symposium on sea turtle biology and conservation,https://repository.library.noaa.gov/view/noaa/3412/noaa_3412_DS1.pdf#page=354
66,"Cunha, A.H. and Araujo, A. (2009). New distribution limits of seagrass beds in West Africa. Journal of Beiogeography. Available at: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2009.02135.x?casa_token=YnJFMx9qwR4AAAAA:57mr6JRSi5aCXThvRH4PfO8sKKqZ7csoCSJ4RsVh680bqcbYXRdH0ir_AYweaiHDirArQhKfyYTxTIdL",Senegal,New distribution limits of seagrass beds in West Africa,"Cunha, A.H.","Araujo, A.",2009,Journal of Beiogeography,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2009.02135.x?casa_token=YnJFMx9qwR4AAAAA:57mr6JRSi5aCXThvRH4PfO8sKKqZ7csoCSJ4RsVh680bqcbYXRdH0ir_AYweaiHDirArQhKfyYTxTIdL
67,"Gervaise, C. et al. (2018). Spatial mapping of the biophony of the fishes living in seagrass meadows. Journal of the Acoustical Society of America. Available at: https://asa.scitation.org/doi/abs/10.1121/1.5067518",France,Spatial mapping of the biophony of the fishes living in seagrass meadows,"Gervaise, C.",et al.,2018,Journal of the Acoustical Society of America,https://asa.scitation.org/doi/abs/10.1121/1.5067518
68,"Geevarghese, G.A. et al. (2018). A comprehensive geospatial assessment of seagrass distribution in India. Ocean & Coastal Management. Available at: https://www.researchgate.net/profile/Pandian_Krishnan/publication/321123010_A_comprehensive_geospatial_assessment_of_seagrass_distribution_in_India/links/5a6075d4aca272328103d055/A-comprehensive-geospatial-assessment-of-seagrass-distribution-in-India.pdf",India,A comprehensive geospatial assessment of seagrass distribution in India,"Geevarghese, G.A.",et al.,2018,Ocean & Coastal Management,https://www.researchgate.net/profile/Pandian_Krishnan/publication/321123010_A_comprehensive_geospatial_assessment_of_seagrass_distribution_in_India/links/5a6075d4aca272328103d055/A-comprehensive-geospatial-assessment-of-seagrass-distribution-in-India.pdf
69,"Wilkes, R. et al. (2017). Intertidal seagrass in Ireland: Pressures, WFD status, and an assessment of trace element contamination in intertidal habitats using Zostera noltei. Ecological Indicators. Available at: https://www.sciencedirect.com/science/article/pii/S1470160X17303783",Ireland,"Intertidal seagrass in Ireland: Pressures, WFD status, and an assessment of trace element contamination in intertidal habitats using Zostera noltei","Wilkes, R.",et al.,2017,Ecological Indicators,https://www.sciencedirect.com/science/article/pii/S1470160X17303783
70,"Yoshida, G. et al. (2018). Carbon sequestration by seagrass and macroalgae in Japan: Estimates and Future Needs. Blue Carbon in shallow coastal ecosystems. Available at: https://link.springer.com/chapter/10.1007/978-981-13-1295-3_4",Japan,Carbon sequestration by seagrass and macroalgae in Japan: Estimates and Future Needs,"Yoshida, G.",et al.,2018,Blue Carbon in shallow coastal ecosystems,https://link.springer.com/chapter/10.1007/978-981-13-1295-3_4
71,"Bujang, J.S. and Zakaria, M. H. (2018). Seagrass in Malaysia: Issues and Challenges ahead. The Wetland Book II: Distribution, Description and Conservation. Available at: https://link.springer.com/content/pdf/10.1007/978-94-007-4001-3_268.pdf",Malaysia,Seagrass in Malaysia: Issues and Challenges ahead,"Bujang, J.S.","Zakaria, M. H.",2018,"The Wetland Book II: Distribution, Description and Conservation",https://link.springer.com/content/pdf/10.1007/978-94-007-4001-3_268.pdf
72,"Jones, B L. and et al. (2018). Complex yet faune-deficient seagrass ecosystems at risk in southern Myanmar. Botanica Marina. Available at: https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0082/bot-2017-0082.xml",Myanmar,Complex yet faune-deficient seagrass ecosystems at risk in southern Myanmar,"Jones, B L.",et al.,2018,Botanica Marina,https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0082/bot-2017-0082.xml
73,"De Silva, K.H. W. L. and Amarasingh, M. D. (2007). Substrate characteristics and species diversity of marine angiosperms in a micro-tidal basin estuary on the west coast of Sri Lanka. Sri Lanka Journal of Aquatic Science. Available at: http://repository.kln.ac.lk/jspui/bitstream/123456789/8922/3/vol12.103-114.pdf",Sri Lanka,Substrate characteristics and species diversity of marine angiosperms in a micro-tidal basin estuary on the west coast of Sri Lanka,"De Silva, K.H. W. L.","Amarasingh, M. D.",2007,Sri Lanka Journal of Aquatic Science,http://repository.kln.ac.lk/jspui/bitstream/123456789/8922/3/vol12.103-114.pdf
74,"Baker, S. et al. (2015). An ecosystems perspectives for food security in the Caribbean: Seagrass meadows in the Turks and Caicos Islands. Ecosystem Services. Available at: https://www.sciencedirect.com/science/article/pii/S2212041614000825",Turks and Caicos Islands,An ecosystems perspectives for food security in the Caribbean: Seagrass meadows in the Turks and Caicos Islands,"Baker, S.",et al.,2015,Ecosystem Services,https://www.sciencedirect.com/science/article/pii/S2212041614000825
75,"Herr, D. and Landis, E. (2016). Coastal blue carbon ecosystems. Gland, Switzerland: IUCN. Available at: https://www.mangrovealliance.org/wp-content/uploads/2017/08/BC-NDCs_FINAL.pdf",Global,Coastal blue carbon ecosystems,"Herr, D.","Landis, E.",2016,"Gland, Switzerland: IUCN",https://www.mangrovealliance.org/wp-content/uploads/2017/08/BC-NDCs_FINAL.pdf
76,"Green, A. and Chadwick, M. A. (2018). Variability of UK seagrass sediment carbon: Implications for blue carbon estimates and marine conservation management. PLOS ONE.",UK,Variability of UK seagrass sediment carbon: Implications for blue carbon estimates and marine conservation management,"Green, A.","Chadwick, M. A.",2018,PLOS ONE,
77,"Spalding, M.D. and Ravilious, C. (2001). World Atlas of Coral Reefs. UNEP-WCMC.",Global,World Atlas of Coral Reefs,"Spalding, M.D.","Ravilious, C.",2001,UNEP-WCMC,
78,"Costa, M.J. and Santos, C. I. (2002). Comparative analysis of a temperate and a tropical seagrass bed fish assemblages in two estuarine systems: the Mira estuary (Portugal) and the Mussulo lagoon (Angola). Cah. Biol. Mar.. Available at: http://www.vliz.be/imisdocs/publications/289199.pdf","Portugal, Angola",Comparative analysis of a temperate and a tropical seagrass bed fish assemblages in two estuarine systems: the Mira estuary (Portugal) and the Mussulo lagoon (Angola),"Costa, M.J.","Santos, C. I.",2002,Cah. Biol. Mar.,http://www.vliz.be/imisdocs/publications/289199.pdf
79,"Samper-Villarreal, J. et al. (2017). Seagrass morphometrics at species level in Moreton Bay, Australia from 2012 to 2013. Nature. Available at: https://www.nature.com/articles/sdata201760",Australia,"Seagrass morphometrics at species level in Moreton Bay, Australia from 2012 to 2013","Samper-Villarreal, J.",et al.,2017,Nature,https://www.nature.com/articles/sdata201760
80,"Hall, M.O. et al. (2016). Recurrence of Thalassia testudinum seagrass die-off in Florida Bay, USA: initial ovservations. Marine Ecology Progress Series. Available at: https://www.int-res.com/abstracts/meps/v560/p243-249",USA,"Recurrence of Thalassia testudinum seagrass die-off in Florida Bay, USA: initial ovservations","Hall, M.O.",et al.,2016,Marine Ecology Progress Series,https://www.int-res.com/abstracts/meps/v560/p243-249
81,"Duarte, C.M. and Martinez, R. (2002). Biomass, production and rhizome growth near the northern limit of seagrass (Zostera marina) distribution. Aquatic Botany. Available at: https://www.sciencedirect.com/science/article/pii/S030437700100225X",Norway,"Biomass, production and rhizome growth near the northern limit of seagrass (Zostera marina) distribution","Duarte, C.M.","Martinez, R.",2002,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S030437700100225X
82,"Alfaro, A.C. (2006). Benthic macro-invertebrate community composition within a mangrove/seagrass estuary in northern New Zealand. Estuarine, Coastal and Shelf Science. Available at: https://www.sciencedirect.com/science/article/pii/S0272771405002726",New Zealand,Benthic macro-invertebrate community composition within a mangrove/seagrass estuary in northern New Zealand,"Alfaro, A.C.",,2006,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771405002726
83,"Honda, K. et al. (2013). Habitat use by fishes in coral reefs, seagrass beds and mangrove habitats in the Philippines. PLOS ONE. Available at: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0065735",Philippines,"Habitat use by fishes in coral reefs, seagrass beds and mangrove habitats in the Philippines","Honda, K.",et al.,2013,PLOS ONE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0065735
84,"Sarborne, A.R. et al. (2006). The Functional Value of Caribbean Coral Reef, Seagrass and Mangrove Habitats to Ecosystem Processes. Advances in Marine Biology. Available at: http://web.stanford.edu/group/MicheliLab/pdf/46-Harborneetal2006MarBio.pdf",Caribbean,"The Functional Value of Caribbean Coral Reef, Seagrass and Mangrove Habitats to Ecosystem Processes","Sarborne, A.R.",et al.,2006,Advances in Marine Biology,http://web.stanford.edu/group/MicheliLab/pdf/46-Harborneetal2006MarBio.pdf
85,"Krupp, F. et al. (2006). Zoological survey in the Red Sea coastal zone of Yemen. Fauna of Arabia. Available at: https://www.researchgate.net/profile/Friedhelm_Krupp/publication/287747725_Zoological_survey_in_the_Red_Sea_coastal_zone_of_Yemen/links/567b849d08ae1975838166b8/Zoological-survey-in-the-Red-Sea-coastal-zone-of-Yemen.pdf",Yemen,Zoological survey in the Red Sea coastal zone of Yemen,"Krupp, F.",et al.,2006,Fauna of Arabia,https://www.researchgate.net/profile/Friedhelm_Krupp/publication/287747725_Zoological_survey_in_the_Red_Sea_coastal_zone_of_Yemen/links/567b849d08ae1975838166b8/Zoological-survey-in-the-Red-Sea-coastal-zone-of-Yemen.pdf
86,"Luong, C.V. et al. (2012). Status and threats on seagrass beds using GIS in Vietnam. Remote Sensing of the Marine Environment II, edited by Robert J. Frouin. Available at: https://www.researchgate.net/profile/Cao_Luong/publication/258721152_Status_and_threats_on_seagrass_beds_using_GIS_in_Vietnam/links/0c960532d285f440e7000000.pdf",Vietnam,Status and threats on seagrass beds using GIS in Vietnam,"Luong, C.V.",et al.,2012,"Remote Sensing of the Marine Environment II, edited by Robert J. Frouin",https://www.researchgate.net/profile/Cao_Luong/publication/258721152_Status_and_threats_on_seagrass_beds_using_GIS_in_Vietnam/links/0c960532d285f440e7000000.pdf
87,"Milchakova, N.A. (1999). On the status of seagrass communities in the Black Sea. Aquatic Botany. Available at: https://www.sciencedirect.com/science/article/pii/S0304377099000285",Black Sea,On the status of seagrass communities in the Black Sea,"Milchakova, N.A.",,1999,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S0304377099000285
88,"Bilgin, S. and Suat Ates, A. (2007). The Brachyura (Decapoda) community of Zostera marina meadows in the coastal area of the Southern Black Sea (Sinop Peninsula, Turkey). Crustaceana. Available at: https://www.researchgate.net/publication/233518403_The_Brachyura_Decapoda_community_of_Zostera_marina_meadows_in_the_coastal_area_of_the_southern_Black_Sea_Sinop_Peninsula_Turkey",Turkey,"The Brachyura (Decapoda) community of Zostera marina meadows in the coastal area of the Southern Black Sea (Sinop Peninsula, Turkey)","Bilgin, S.","Suat Ates, A.",2007,Crustaceana,https://www.researchgate.net/publication/233518403_The_Brachyura_Decapoda_community_of_Zostera_marina_meadows_in_the_coastal_area_of_the_southern_Black_Sea_Sinop_Peninsula_Turkey
89,"Schanz, A. and Polte, P. (2002). Cascading effects of hydrodynamics on an epiphyte-grazer system in intertidal seagrass beds of the Wadden Sea. Marine Biology. Available at: https://link.springer.com/content/pdf/10.1007/s00227-002-0823-8.pdf","Germany, Denmark",Cascading effects of hydrodynamics on an epiphyte-grazer system in intertidal seagrass beds of the Wadden Sea,"Schanz, A.","Polte, P.",2002,Marine Biology,https://link.springer.com/content/pdf/10.1007/s00227-002-0823-8.pdf
90,International Union for Conservation of Nature (IUCN) (2019). The IUCN Red List of Threatened Species. IUCN. Available at: http://www.iucnredlist.org,Global,The IUCN Red List of Threatened Species,International Union for Conservation of Nature (IUCN),,2019,IUCN,http://www.iucnredlist.org
91,"Adam, P. (2002). Saltmarshes in a time of change. Environmental Conservation.",Global,Saltmarshes in a time of change,"Adam, P.",,2002,Environmental Conservation,
92,"Aanchez, J.M. and Izco, J. (1996). Relationships between vegetation zonation and altitude in a salt-marsh system in northwest Spain. Journal of Vegetation Science.",Spain,Relationships between vegetation zonation and altitude in a salt-marsh system in northwest Spain,"Aanchez, J.M.","Izco, J.",1996,Journal of Vegetation Science,
93,"Sobowale, A. and Oyedepo, J. A. (2013). Status of flood vulnerability area in an ungauged basin, southwest Nigeria. International Journal of Agriculture and Biological Engineering.",Nigeria,"Status of flood vulnerability area in an ungauged basin, southwest Nigeria","Sobowale, A.","Oyedepo, J. A.",2013,International Journal of Agriculture and Biological Engineering,
94,"Simas, T. and Nunes, J. P. (2001). Effects of global climate change on coastal salt marshes. Ecological Modelling.",South-West Atlantic,Effects of global climate change on coastal salt marshes,"Simas, T.","Nunes, J. P.",2001,Ecological Modelling,
95,"Pennings, S.C. and Callaway, R. M. (1996). Impact of a parasitic plant on the structure and dynamics of salt marsh vegetation. Ecology.",USA,Impact of a parasitic plant on the structure and dynamics of salt marsh vegetation,"Pennings, S.C.","Callaway, R. M.",1996,Ecology,
96,"Young, D.R. and Erickson, D. L. (1994). Salinity and the small-wcale distribution of three barrier island shrubs. NRC Research Press.",USA,Salinity and the small-wcale distribution of three barrier island shrubs,"Young, D.R.","Erickson, D. L.",1994,NRC Research Press,
97,"Rasser, M.K. and Fowler, N. L. (2013). Elevation and Plant Community Distribution in a Microtidal Salt Marsh of the Western Gulf of Mexico. Wetlands, August 2013.",USA,Elevation and Plant Community Distribution in a Microtidal Salt Marsh of the Western Gulf of Mexico,"Rasser, M.K.","Fowler, N. L.",2013,"Wetlands, August 2013",
98,"Tamis, J.E. and Foekema, E. M. (2016). Blue carbon in the Dutch Caribbean. Wageningen UR.",Dutch Caribbean,Blue carbon in the Dutch Caribbean,"Tamis, J.E.","Foekema, E. M.",2016,Wageningen UR,
99,"Azeria, E. T. (2004). Terrestrial bird community patterns on the coralline islands of the Dahlak Archipelago, Red Sea, Eritrea. Global Ecology and Biogeography.",Eritrea,"Terrestrial bird community patterns on the coralline islands of the Dahlak Archipelago, Red Sea, Eritrea","Azeria, E. T.",,2004,Global Ecology and Biogeography,
100,"Okyere, I. et al. (2011). Composition, Diversity and Food Habits of the Fish Community of a Coastal Wetland in Ghana. Journal of Environment and Ecology.",Ghana,"Composition, Diversity and Food Habits of the Fish Community of a Coastal Wetland in Ghana","Okyere, I.",et al.,2011,Journal of Environment and Ecology,
101,"Friess, D.A. et al. (2011). Are all intertidal wetlands naturally created equal? Bottlenecks, thresholds and knowledge gaps to mangrove and saltmarsh ecosystems. Biological Reviews.",Global,"Are all intertidal wetlands naturally created equal? Bottlenecks, thresholds and knowledge gaps to mangrove and saltmarsh ecosystems","Friess, D.A.",et al.,2011,Biological Reviews,
102,"Saintilan, N. et al. (2014). Mangrove expansion and salt marsh decline at mangrove poleward limits. University of Wollongong, Australia Research Online.",Global,Mangrove expansion and salt marsh decline at mangrove poleward limits,"Saintilan, N.",et al.,2014,"University of Wollongong, Australia Research Online",
103,"Patru, S. et al. (2017). Seagrass and Salt Marsh Ecosystems in South Asia: An overview of diversity, distribution, threats and conservation status. Wetland Science.",South Asia,"Seagrass and Salt Marsh Ecosystems in South Asia: An overview of diversity, distribution, threats and conservation status","Patru, S.",et al.,2017,Wetland Science,
104,"Mold, R.J. (2014). Ecology of Halophytes. Elsevier Science.",Global,Ecology of Halophytes,"Mold, R.J.",,2014,Elsevier Science,
105,"Guilcher, A. (2010). Togo and Benin. Encyclopedia of the World's Coastal Landforms.",Togo & Benin,Togo and Benin,"Guilcher, A.",,2010,Encyclopedia of the World's Coastal Landforms,
106,"Bird, E. C. F. (2003). The World's Coast: Online. Springer.",Global,The World's Coast: Online,"Bird, E. C. F.",,2003,Springer,
107,"Goetghebuer, M. (1945). The Scaptopsidae of Belgium (Diptera). Biologisch Jaarboeak (Dodonaea).",Belgium,The Scaptopsidae of Belgium (Diptera),"Goetghebuer, M.",,1945,Biologisch Jaarboeak (Dodonaea),
108,"Abdel-Razik, M.S. and Ismail, A. M. A. (1990). Vegetation composition of a maritime salt marsh in Qatar in relation to edaphic features. Journal of Vegetation Science.",Qatar,Vegetation composition of a maritime salt marsh in Qatar in relation to edaphic features,"Abdel-Razik, M.S.","Ismail, A. M. A.",1990,Journal of Vegetation Science,
109,"Volk, R. D. (1993). American Samoa. Scott, D. A. (ed.), A Directory of Wetlands in Oceania. IWRB, Slimbridge, UK and AWK, Kuala Lumpur, Malaysia.",American Samoa,American Samoa,"Volk, R. D.",,1993,"Scott, D. A. (ed.), A Directory of Wetlands in Oceania. IWRB, Slimbridge, UK and AWK, Kuala Lumpur, Malaysia",
110,"Duarte, M.C. et al. (2007). Plant species richness in the Cape Verde Islands - ecogeographical determinants. Biodiversity and Conservation.",Cabo Verde,Plant species richness in the Cape Verde Islands - ecogeographical determinants,"Duarte, M.C.",et al.,2007,Biodiversity and Conservation,
111,"Australian Government, Director of National Parks (2015). Pulu Keeling National Park. Director of National Parks.",Coco (Keeling) Island,Pulu Keeling National Park,"Australian Government, Director of National Parks",,2015,Director of National Parks,
112,"Taylor, M. and Pelembe, T. (2016). European Overseas Regional Profile: South Atlantic. EU Outermost Regions and Overseas Countries and Territories. BEST.",South Atlantic,European Overseas Regional Profile: South Atlantic,"Taylor, M.","Pelembe, T.",2016,EU Outermost Regions and Overseas Countries and Territories. BEST,
113,United States Department of the Navy (2009). Mariana Islands Range Complex: Environmental Impact Statement. U.S. Department of the Navy.,Mariana Islands,Mariana Islands Range Complex: Environmental Impact Statement,United States Department of the Navy,,2009,U.S. Department of the Navy,
114,"Spalding, M. and Kainuma, M. (2010). World Atlas of Mangroves. Earthscan, UK, USA.",Global,World Atlas of Mangroves,"Spalding, M.","Kainuma, M.",2010,"Earthscan, UK, USA",
115,"Giri, C. et al. (2010). Status and global distribution of mangrove forests of the world using earth observation satellite data. Gloal Ecology and Biogeography. Available at: https://onlinelibrary.wiley.com/doi/full/10.1111/j.1466-8238.2010.00584.x?casa_token=9uCiUKWDWgAAAAAA:1kpoPhwBkY5cIKbgjl-07jdflEEVmjzP45pmwoDiHL0bLYroFxHERaIj931ruv03-PlT_UVC6jOHjn69",Global,Status and global distribution of mangrove forests of the world using earth observation satellite data,"Giri, C.",et al.,2010,Gloal Ecology and Biogeography,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1466-8238.2010.00584.x?casa_token=9uCiUKWDWgAAAAAA:1kpoPhwBkY5cIKbgjl-07jdflEEVmjzP45pmwoDiHL0bLYroFxHERaIj931ruv03-PlT_UVC6jOHjn69
116,"Stuart, S.A. et al. (2007). The role of freezing in setting the latitudinal limits of mangrove forests. New Phytologist. Available at: https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-8137.2006.01938.x",Global,The role of freezing in setting the latitudinal limits of mangrove forests,"Stuart, S.A.",et al.,2007,New Phytologist,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1469-8137.2006.01938.x
117,WoRMS Editorial Board (2019). World Register of Marine Species. WoRMS. Available at: http://marinespecies.org/,Global,World Register of Marine Species,WoRMS Editorial Board,,2019,WoRMS,http://marinespecies.org/
118,"Soares, M.L.G. et al. (2012). Southern limit of the Western South atlantic mangroves: Assessment of the potential effects of global warming from a biogeographical perspective. Estuarine, Coastal and Shelf Science. Available at: https://www.sciencedirect.com/science/article/pii/S0272771412000558",Western South Atlantic,Southern limit of the Western South atlantic mangroves: Assessment of the potential effects of global warming from a biogeographical perspective,"Soares, M.L.G.",et al.,2012,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771412000558
